client_id,age,satisfaction_score,purchase_count,total_purchase_value,avg_purchase_value,avg_floor_area,investment_flag,loan_flag,office_share,apartment_share,corporate_flag,cluster
C0098,77.0,3,4,1131592.65,282898.1625,981.955,0,1,0.0,1.0,0,4
C0099,86.0,4,6,2000308.58,333384.76333333337,1201.5883333333334,1,0,0.16666666666666666,0.8333333333333334,0,1
C0100,57.0,3,4,1449544.65,362386.1625,1174.44,0,0,0.0,1.0,0,5
C0101,76.0,3,4,1125013.8,281253.45,874.345,0,0,0.25,0.75,0,2
C0102,80.0,5,9,3403263.85,378140.4277777778,1222.908888888889,1,1,0.1111111111111111,0.8888888888888888,0,1
C0103,53.0,3,5,1483838.77,296767.754,964.9799999999999,0,0,0.0,1.0,0,4
C0104,48.0,5,5,1677155.01,335431.002,1090.3,0,0,0.2,0.8,0,2
C0105,68.0,2,5,1328084.36,265616.87200000003,850.948,1,1,0.4,0.6,0,7
C0106,73.0,4,4,957679.27,239419.8175,820.9825000000001,0,0,0.0,1.0,0,4
C0107,67.0,4,5,1715058.23,343011.646,1102.66,0,1,0.2,0.8,0,7
C0108,68.0,4,6,1998798.72,333133.12,1104.1699999999998,0,0,0.16666666666666666,0.8333333333333334,0,1
C0109,93.0,5,5,1995551.0899999999,399110.218,1285.854,1,1,0.4,0.6,0,0
C0110,67.0,5,5,1205555.46,241111.092,811.4019999999999,1,1,0.0,1.0,0,6
C0111,47.0,2,4,1198421.22,299605.305,896.7175,0,1,0.0,1.0,0,4
C0112,67.0,1,5,1775142.2,355028.44,1115.986,1,1,0.0,1.0,0,6
C0113,77.0,4,4,1414433.46,353608.365,1186.715,1,0,0.0,1.0,0,6
C0114,65.0,1,4,1124004.05,281001.0125,932.9449999999999,0,1,0.0,1.0,0,4
C0115,49.0,5,5,1757354.59,351470.918,1143.692,0,0,0.4,0.6,0,0
C0116,71.0,4,8,2484590.08,310573.76,1039.8925,1,0,0.125,0.875,0,1
C0117,62.0,4,8,2884556.25,360569.53125,1135.78625,1,0,0.375,0.625,0,1
C0118,78.0,5,4,1218377.19,304594.2975,1009.1225,1,0,0.25,0.75,0,2
C0119,84.0,1,4,1603043.92,400760.98,1399.315,0,1,0.0,1.0,0,5
C0120,73.0,4,5,1753587.39,350717.478,1243.96,0,1,0.0,1.0,0,5
C0121,76.0,2,5,1169150.31,233830.062,806.688,0,0,0.0,1.0,0,4
C0122,53.0,1,4,1412560.68,353140.17,1085.975,0,1,0.0,1.0,0,4
C0123,64.0,4,5,1821348.69,364269.738,1230.6599999999999,0,1,0.0,1.0,0,5
C0124,63.0,4,5,1613985.08,322797.016,1184.6299999999999,0,0,0.2,0.8,0,2
C0125,50.0,4,4,1341108.25,335277.0625,1148.5475,0,1,0.25,0.75,0,7
C0126,54.0,2,5,1319929.46,263985.892,850.052,1,0,0.2,0.8,0,2
C0127,52.0,2,4,967474.23,241868.5575,765.085,0,1,0.0,1.0,0,4
C0128,63.0,5,5,1639392.9500000002,327878.59,1054.034,1,1,0.2,0.8,1,3
C0129,53.0,5,4,1748372.75,437093.1875,1296.9850000000001,1,0,0.25,0.75,0,0
C0130,67.0,3,4,1488042.88,372010.72,1215.035,0,1,0.0,1.0,0,5
C0131,56.0,1,5,1428058.5499999998,285611.70999999996,928.7940000000001,0,0,0.0,1.0,0,4
C0132,61.0,1,4,1203775.04,300943.76,1025.1775,0,1,0.0,1.0,0,4
C0133,80.0,4,4,1449799.93,362449.9825,1177.4025000000001,1,0,0.0,1.0,0,6
C0134,94.0,3,5,1761669.8699999999,352333.974,1095.602,1,0,0.0,1.0,0,6
C0135,87.0,2,4,1221442.92,305360.73,1043.6100000000001,1,0,0.25,0.75,0,2
C0136,53.0,3,5,1892554.72,378510.944,1244.274,0,0,0.6,0.4,0,0
C0137,69.0,3,4,989750.45,247437.6125,855.0699999999999,0,1,0.25,0.75,0,7
C0138,87.0,3,5,1367824.55,273564.91000000003,914.412,1,1,0.4,0.6,0,7
C0139,57.0,5,5,1807366.3,361473.26,1136.694,0,1,0.0,1.0,0,5
C0140,74.0,3,5,1559561.53,311912.306,1041.7220000000002,0,0,0.2,0.8,0,2
C0141,40.0,5,5,1765019.09,353003.818,1088.806,0,0,0.2,0.8,0,0
C0142,48.0,3,5,1673770.19,334754.038,1149.396,0,1,0.2,0.8,0,7
C0143,69.0,1,8,2389960.3,298745.0375,1008.6325,0,0,0.125,0.875,0,1
C0144,72.0,4,5,1897739.74,379547.948,1206.354,0,0,0.0,1.0,0,5
C0145,62.0,4,5,1746571.55,349314.31,1297.3200000000002,0,0,0.2,0.8,0,0
C0146,64.0,2,4,1481536.3900000001,370384.09750000003,1242.6425,0,0,0.0,1.0,0,5
C0147,79.0,4,5,1398309.27,279661.854,1000.47,0,0,0.4,0.6,0,2
C0148,57.0,4,4,1700383.7,425095.925,1413.5925,1,1,0.0,1.0,0,5
C0149,72.0,3,4,1049009.0,262252.25,906.4850000000001,1,0,0.25,0.75,0,2
C0150,58.0,2,4,1846066.58,461516.645,1500.95,0,1,0.0,1.0,0,5
C0151,50.0,1,5,1589086.32,317817.264,1123.442,0,0,0.0,1.0,0,4
C0152,60.0,2,7,2539205.93,362743.7042857143,1212.7585714285713,1,1,0.0,1.0,0,1
C0153,44.0,5,5,1560375.26,312075.052,944.0319999999999,0,0,0.0,1.0,0,4
C0154,62.0,4,5,2142457.31,428491.462,1390.49,0,1,0.4,0.6,0,0
C0155,51.0,5,5,1622885.53,324577.106,1097.394,1,0,0.2,0.8,1,3
C0156,60.0,5,4,1344903.47,336225.8675,1102.105,0,0,0.25,0.75,0,2
C0157,74.0,2,4,1060400.03,265100.0075,830.7675,0,1,0.0,1.0,0,4
C0158,48.0,3,4,1439477.66,359869.415,1131.4975,1,1,0.25,0.75,0,7
C0159,84.0,3,4,1596507.45,399126.8625,1336.7325,0,0,0.0,1.0,0,5
C0160,67.0,4,5,1679716.96,335943.392,1144.06,0,0,0.4,0.6,0,2
C0161,75.0,5,9,2534264.26,281584.91777777777,939.4144444444444,0,0,0.1111111111111111,0.8888888888888888,0,1
C0162,73.0,4,4,1135363.52,283840.88,983.24,0,0,0.25,0.75,0,2
C0163,40.0,5,4,1506594.21,376648.5525,1307.32,1,1,0.25,0.75,0,0
C0164,40.0,5,4,1436152.54,359038.135,1196.7975,0,0,0.0,1.0,0,4
C0165,70.0,3,3,1276849.33,425616.44333333336,1357.1933333333334,0,1,0.0,1.0,0,5
C0166,43.0,4,4,1273643.37,318410.8425,1025.3225,0,1,0.0,1.0,0,4
C0167,72.0,3,7,2749577.33,392796.7614285714,1320.3814285714286,0,1,0.14285714285714285,0.8571428571428571,0,1
C0168,66.0,3,4,1491785.87,372946.4675,1329.6025,0,0,0.0,1.0,0,5
C0169,36.0,5,3,688864.2,229621.4,845.8633333333333,1,1,0.6666666666666666,0.3333333333333333,0,7
C0170,77.0,5,3,1161316.17,387105.38999999996,1339.7466666666667,0,0,0.0,1.0,0,5
C0171,35.0,5,4,1278753.71,319688.4275,1070.72,1,1,0.0,1.0,0,6
C0172,34.0,1,4,1681471.9100000001,420367.97750000004,1572.79,0,1,0.25,0.75,0,0
C0173,50.0,5,8,2619968.43,327496.05375,1074.5925,0,1,0.0,1.0,0,1
C0174,44.0,3,3,865359.73,288453.24333333335,869.7866666666667,1,0,0.0,1.0,0,6
C0175,64.0,5,4,1606138.1199999999,401534.52999999997,1313.38,0,0,0.5,0.5,0,0
C0176,33.0,2,6,2681927.91,446987.98500000004,1514.8,0,0,0.0,1.0,0,1
C0177,75.0,5,7,2269897.21,324271.02999999997,1160.9514285714286,0,1,0.14285714285714285,0.8571428571428571,0,1
C0178,74.0,4,7,2665917.96,380845.42285714287,1284.9985714285715,0,0,0.2857142857142857,0.7142857142857143,0,1
C0179,40.0,2,8,2131372.11,266421.51375,947.5450000000001,1,0,0.375,0.625,0,1
C0180,84.0,2,7,2660292.37,380041.76714285713,1249.51,0,1,0.14285714285714285,0.8571428571428571,0,1
C0181,56.0,2,7,2047189.62,292455.66000000003,974.1771428571428,0,1,0.14285714285714285,0.8571428571428571,0,1
C0182,56.0,1,8,3082362.35,385295.29375,1246.94625,1,1,0.0,1.0,0,1
C0183,38.0,3,7,1883106.92,269015.27428571426,907.1042857142857,0,0,0.0,1.0,0,1
C0184,33.0,1,6,2618938.16,436489.69333333336,1481.7150000000001,0,0,0.0,1.0,0,1
C0185,82.0,4,7,2491911.81,355987.40142857144,1137.2942857142857,0,1,0.0,1.0,0,1
C0186,45.0,1,8,2674286.63,334285.82875,1100.27125,0,0,0.0,1.0,0,1
C0187,37.0,1,6,2066651.1400000001,344441.8566666667,1135.37,0,0,0.3333333333333333,0.6666666666666666,0,1
C0188,86.0,5,7,2891447.6,413063.9428571429,1263.962857142857,0,1,0.2857142857142857,0.7142857142857143,0,1
C0189,68.0,2,7,2209659.42,315665.6314285714,1024.6857142857143,0,0,0.14285714285714285,0.8571428571428571,0,1
C0190,55.0,2,7,2276701.17,325243.02428571426,1049.1542857142856,0,0,0.14285714285714285,0.8571428571428571,0,1
C0191,49.0,3,8,2172926.7600000002,271615.84500000003,913.8512499999999,0,0,0.375,0.625,0,1
C0192,42.0,2,7,2900509.0999999996,414358.4428571428,1304.7214285714288,1,1,0.2857142857142857,0.7142857142857143,0,1
C0193,58.0,4,7,1933778.2399999998,276254.03428571427,962.7214285714286,1,1,0.42857142857142855,0.5714285714285714,0,1
C0194,73.0,5,7,2759372.27,394196.03857142857,1237.292857142857,0,1,0.2857142857142857,0.7142857142857143,0,1
C0195,79.0,2,7,2102233.85,300319.12142857147,1029.2714285714285,0,1,0.2857142857142857,0.7142857142857143,0,1
C0196,69.0,5,6,2611736.44,435289.4066666667,1411.9466666666667,1,0,0.0,1.0,0,1
C0197,83.0,4,8,2775768.6,346971.075,1082.87,0,0,0.0,1.0,0,1
C0198,51.0,4,8,2399689.67,299961.20875,997.5475,0,0,0.0,1.0,0,1
C0199,68.0,3,7,2582959.87,368994.26714285713,1162.7385714285715,0,0,0.14285714285714285,0.8571428571428571,0,1
C0200,82.0,1,4,1071359.3900000001,267839.84750000003,920.7075,0,0,0.0,1.0,0,4
C0201,59.0,1,4,1298787.54,324696.885,1147.435,0,0,0.25,0.75,0,2
C0202,30.0,1,3,1019272.5900000001,339757.53,1049.3799999999999,0,0,0.3333333333333333,0.6666666666666666,0,2
C0203,70.0,4,4,1242478.83,310619.7075,916.0375,0,0,0.0,1.0,0,4
C0204,79.0,5,3,934432.98,311477.66,1042.7266666666667,0,0,0.3333333333333333,0.6666666666666666,0,2
C0205,58.0,1,3,949224.48,316408.16,1072.7266666666667,0,1,0.3333333333333333,0.6666666666666666,0,7
C0206,69.0,1,3,853060.9299999999,284353.6433333333,851.4266666666667,0,1,0.0,1.0,0,4
C0207,82.0,4,3,889948.76,296649.58666666667,1104.51,1,0,0.0,1.0,0,6
C0208,40.0,4,4,1199654.38,299913.595,997.4100000000001,0,1,0.25,0.75,0,7
C0209,77.0,3,4,979868.13,244967.0325,794.1275,1,0,0.25,0.75,0,2
C0210,83.0,2,4,1346156.55,336539.1375,1135.53,0,0,0.0,1.0,0,4
C0211,55.0,3,4,1254240.07,313560.0175,1053.27,0,0,0.25,0.75,0,2
C0212,70.0,4,3,1068278.76,356092.92,1224.68,0,0,0.0,1.0,0,4
C0213,50.0,5,3,809691.13,269897.04333333333,897.3100000000001,1,0,0.3333333333333333,0.6666666666666666,0,2
C0214,80.0,5,3,1070534.6400000001,356844.88000000006,1179.5233333333333,1,0,0.0,1.0,0,6
C0215,27.0,4,3,1032856.46,344285.48666666663,1110.27,1,0,0.0,1.0,0,6
C0216,27.0,1,4,1352642.3399999999,338160.58499999996,1063.04,0,0,0.25,0.75,0,2
C0217,42.0,3,4,1238434.91,309608.7275,1019.1225,0,0,0.0,1.0,0,4
C0218,57.0,2,3,836639.27,278879.75666666665,913.6700000000001,0,0,0.3333333333333333,0.6666666666666666,0,2
C0219,39.0,4,4,1267653.57,316913.3925,1035.1925,0,0,0.25,0.75,0,2
C0220,75.0,1,3,1060812.68,353604.2266666666,1101.55,1,0,0.0,1.0,0,6
C0221,39.0,5,4,1377133.5999999999,344283.39999999997,1186.5225,0,0,0.0,1.0,1,3
C0222,70.0,3,3,1223560.82,407853.6066666667,1517.47,1,0,0.0,1.0,0,5
C0223,53.0,3,4,969341.87,242335.4675,837.5225,1,1,0.0,1.0,0,6
C0224,66.0,5,3,1189255.63,396418.5433333333,1330.2166666666667,0,0,0.0,1.0,0,5
C0225,78.0,1,4,1120626.94,280156.735,905.7525,0,1,0.25,0.75,0,7
C0226,68.0,2,3,1571251.03,523750.3433333333,1599.3433333333332,0,0,0.0,1.0,0,5
C0227,82.0,5,3,942245.37,314081.79,1104.51,0,1,0.0,1.0,0,4
C0228,74.0,4,3,606605.72,202201.90666666665,610.62,1,0,0.3333333333333333,0.6666666666666666,0,2
C0229,45.0,5,3,892220.13,297406.71,900.46,1,0,0.0,1.0,0,6
C0230,49.0,4,4,1457429.02,364357.255,1104.2925,1,1,0.0,1.0,1,3
C0231,33.0,2,3,729893.08,243297.69333333333,849.6366666666667,1,1,0.0,1.0,0,6
C0232,64.0,3,4,1276710.4900000002,319177.62250000006,1036.6525,0,1,0.0,1.0,0,4
C0233,29.0,4,4,1105806.54,276451.635,914.3125,0,1,0.0,1.0,0,4
C0234,48.0,1,3,839967.04,279989.01333333337,973.09,0,1,0.0,1.0,0,4
C0235,77.0,5,4,1268586.58,317146.645,1092.085,0,0,0.0,1.0,0,4
C0236,54.0,3,3,1321475.69,440491.89666666667,1449.5,0,0,0.6666666666666666,0.3333333333333333,0,0
C0237,43.0,5,3,1392353.31,464117.77,1630.1366666666665,0,1,0.0,1.0,0,5
C0238,44.0,4,3,1125732.72,375244.24,1125.17,0,1,0.0,1.0,0,4
C0239,54.0,3,4,1352763.67,338190.9175,1011.5799999999999,0,1,0.5,0.5,0,7
C0240,84.0,3,3,935028.28,311676.0933333333,1022.67,1,0,0.6666666666666666,0.3333333333333333,0,2
C0241,65.0,5,3,1025934.71,341978.23666666663,1110.27,0,1,0.0,1.0,0,4
C0242,29.0,3,4,1358315.73,339578.9325,1191.1025,0,1,0.25,0.75,0,7
C0243,48.0,2,4,1382777.8900000001,345694.47250000003,1286.2725,0,0,0.0,1.0,0,5
C0244,29.0,1,3,1046652.28,348884.0933333333,1095.0333333333335,0,0,0.6666666666666666,0.3333333333333333,0,2
C0245,52.0,4,3,1354584.5,451528.1666666667,1439.256666666667,1,0,0.0,1.0,0,5
C0246,34.0,1,3,1024485.26,341495.08666666667,1117.9399999999998,0,1,0.3333333333333333,0.6666666666666666,0,7
C0247,62.0,1,4,1696540.52,424135.13,1458.93,0,0,0.0,1.0,0,5
C0248,58.0,4,3,1035934.63,345311.54333333333,1224.68,0,1,0.3333333333333333,0.6666666666666666,0,7
C0249,58.0,4,4,1142995.52,285748.88,1027.3249999999998,1,0,0.0,1.0,0,6
C0250,79.0,2,3,982306.66,327435.55333333334,1076.69,0,0,0.0,1.0,0,4
C0251,50.0,5,3,463611.95,154537.31666666668,564.01,0,0,0.0,1.0,0,4
C0252,73.0,2,3,1082221.48,360740.49333333335,1209.64,1,0,0.3333333333333333,0.6666666666666666,0,2
C0253,32.0,4,4,1239226.11,309806.5275,1052.8325,0,0,0.0,1.0,0,4
C0254,70.0,5,4,1332152.57,333038.1425,1096.3725,0,0,0.0,1.0,0,4
C0255,65.0,3,4,1689083.06,422270.765,1253.3075,1,1,0.0,1.0,0,5
C0256,36.0,1,3,1150229.15,383409.7166666666,1281.3166666666666,0,1,0.0,1.0,0,5
C0257,52.0,1,3,1145456.23,381818.74333333335,1277.84,0,0,0.3333333333333333,0.6666666666666666,0,2
C0258,35.0,4,3,1001712.37,333904.12333333335,1173.1833333333334,0,1,0.0,1.0,0,4
C0259,37.0,4,3,779396.4099999999,259798.80333333332,842.68,0,0,0.0,1.0,0,4
C0260,80.0,3,4,1057192.79,264298.1975,820.9225,1,0,0.5,0.5,0,2
C0261,41.0,4,4,2094623.1,523655.775,1676.3825,1,1,0.25,0.75,1,3
C0262,79.0,2,3,1233260.4,411086.8,1359.24,0,0,0.0,1.0,0,5
C0263,46.0,2,3,969140.41,323046.80333333334,1016.7633333333333,1,1,0.0,1.0,0,6
C0264,34.0,2,4,1127766.02,281941.505,972.245,0,1,0.25,0.75,0,7
C0265,59.0,1,4,1708031.99,427007.9975,1293.0725,0,0,0.25,0.75,1,3
C0266,50.0,5,3,931646.38,310548.79333333333,1078.7866666666666,0,1,0.3333333333333333,0.6666666666666666,0,7
C0267,78.0,4,4,1314495.01,328623.7525,1096.12,0,1,0.0,1.0,0,4
C0268,68.0,3,4,1108939.8599999999,277234.96499999997,900.39,1,0,0.25,0.75,0,2
C0269,57.0,2,3,1049110.08,349703.36000000004,1076.69,0,0,0.3333333333333333,0.6666666666666666,0,2
C0270,82.0,5,3,924009.9,308003.3,983.4266666666667,0,0,0.3333333333333333,0.6666666666666666,0,2
C0271,54.0,3,4,1295689.37,323922.3425,1024.3375,1,0,0.5,0.5,0,2
C0272,34.0,5,4,1439584.37,359896.0925,1248.58,0,1,0.0,1.0,0,5
C0273,40.0,2,3,682452.64,227484.21333333335,801.46,1,0,0.0,1.0,0,6
C0274,77.0,2,3,1343449.34,447816.4466666667,1467.89,0,0,0.0,1.0,0,5
C0275,26.0,1,4,1237500.3,309375.075,1177.3375,0,1,0.25,0.75,0,7
C0276,74.0,5,3,1011195.98,337065.32666666666,1164.9766666666667,0,0,0.0,1.0,0,4
C0277,72.0,1,3,1123449.53,374483.1766666667,1286.4266666666667,1,1,0.0,1.0,0,6
C0278,72.0,2,3,1442538.67,480846.2233333333,1685.2766666666666,1,1,0.0,1.0,0,5
C0279,59.0,1,3,1012986.25,337662.0833333333,1170.3533333333332,0,0,0.0,1.0,0,4
C0280,82.0,4,4,1282020.93,320505.2325,1154.2525,0,0,0.25,0.75,0,2
C0281,50.0,1,3,1256275.37,418758.4566666667,1388.4566666666667,0,1,0.3333333333333333,0.6666666666666666,0,0
C0282,29.0,1,4,973863.8,243465.95,858.9825,1,0,0.25,0.75,0,2
C0283,64.0,2,4,1118599.47,279649.8675,922.54,0,1,0.25,0.75,0,7
C0284,50.0,4,4,1251975.85,312993.9625,994.0725,0,0,0.0,1.0,0,4
C0285,27.0,3,4,1679056.13,419764.0325,1423.1725,1,0,0.0,1.0,0,5
C0286,30.0,1,3,859353.0900000001,286451.03,988.6033333333334,0,0,0.0,1.0,0,4
